index,Postcode,Latitude,Longitude,Distance
10494,CR4 2NX,51.407211,-0.15549000000000002,0.0
10495,CR4 2PA,51.404732,-0.16309200000000001,0.0
10496,CR4 2PB,51.404399,-0.16253,0.0
10497,CR4 2PE,51.405696,-0.163226,0.0
10498,CR4 2PF,51.405014,-0.162778,0.0
10499,CR4 2PG,51.405471,-0.16204100000000002,0.0
10500,CR4 2PH,51.405306,-0.161303,0.0
10501,CR4 2PJ,51.405737,-0.16184400000000002,0.0
10502,CR4 2PL,51.4049,-0.161805,0.0
10503,CR4 2QA,51.40424,-0.161001,0.0
10504,CR4 2QB,51.403822,-0.158973,0.0
10505,CR4 2QD,51.404075,-0.157353,0.0
10506,CR4 2QE,51.40473,-0.161295,0.0
10510,CR4 2YA,51.412172999999996,-0.15650899999999998,0.0
10511,CR4 2YR,51.408625,-0.162476,0.0
10512,CR4 3AA,51.406172999999995,-0.164961,0.0
10513,CR4 3AB,51.40513,-0.16902799999999998,0.0
10518,CR4 3AH,51.405795,-0.168427,0.0
10519,CR4 3AJ,51.404897999999996,-0.167988,0.0
10520,CR4 3AL,51.406415,-0.168402,0.0
10526,CR4 3AT,51.406075,-0.16791199999999998,0.0
10528,CR4 3AW,51.40525,-0.168075,0.0
10529,CR4 3AX,51.405272,-0.16886400000000001,0.0
10534,CR4 3BD,51.410051,-0.177804,0.0
10552,CR4 3DE,51.407313,-0.172895,0.0
10553,CR4 3DF,51.407583,-0.172942,0.0
10563,CR4 3DT,51.408475,-0.174157,0.0
10566,CR4 3DX,51.408464,-0.17233199999999999,0.0
10569,CR4 3EB,51.408727,-0.170164,0.0
10570,CR4 3ED,51.406471999999994,-0.167454,0.0
10571,CR4 3EE,51.408846999999994,-0.170922,0.0
10572,CR4 3EF,51.411072,-0.174643,0.0
10573,CR4 3EG,51.40728,-0.165635,0.0
10574,CR4 3EH,51.40728,-0.165635,0.0
10575,CR4 3EJ,51.407381,-0.166293,0.0
10576,CR4 3EL,51.407381,-0.166293,0.0
10577,CR4 3EN,51.408592999999996,-0.168459,0.0
10578,CR4 3EP,51.409504,-0.16753099999999999,0.0
10579,CR4 3EQ,51.407531,-0.17129,0.0
10580,CR4 3ER,51.406496999999995,-0.17189200000000002,0.0
10581,CR4 3ES,51.408666,-0.169103,0.0
10582,CR4 3ET,51.410715,-0.174787,0.0
10583,CR4 3EU,51.409506,-0.16938499999999998,0.0
10584,CR4 3EW,51.409227,-0.16933900000000002,0.0
10586,CR4 3EY,51.409458,-0.174967,0.0
10587,CR4 3EZ,51.41008,-0.17563199999999998,0.0
10589,CR4 3FD,51.409157,-0.16833499999999998,0.0
10592,CR4 3FG,51.407376,-0.164901,0.0
10595,CR4 3FL,51.407472999999996,-0.168233,0.0
10602,CR4 3FX,51.411156,-0.167925,0.0
10606,CR4 3GD,51.410942999999996,-0.167545,0.0
10615,CR4 3GS,51.406354,-0.171395,0.0
10616,CR4 3HA,51.408743,-0.16314700000000001,0.0
10617,CR4 3HB,51.408165000000004,-0.163544,0.0
10618,CR4 3HD,51.406620000000004,-0.164224,0.0
10619,CR4 3HE,51.410022999999995,-0.163929,0.0
10620,CR4 3HF,51.409349,-0.166243,0.0
10621,CR4 3HG,51.408494,-0.166176,0.0
10622,CR4 3HH,51.411464,-0.16459100000000002,0.0
10623,CR4 3HJ,51.409622,-0.164193,0.0
10624,CR4 3HL,51.411711,-0.164883,0.0
