Destination,Origin,Transit_Times,Lat,Lon
SW9 0UZ,EC2Y 8BD,30.833333333333332,51.467638,-0.116279
SE15 4UG,EC2Y 8BD,31.616666666666667,51.468319,-0.066362
E1 2NN,EC2Y 8BD,17.966666666666665,51.512086,-0.05874500000000001
E1 4RT,EC2Y 8BL,27.15,51.518419,-0.036768
N1 7HG,EC2Y 8BL,16.35,51.532614,-0.08877
SW11 5NY,EC2Y 8BL,35.88333333333333,51.462774,-0.155364
SW18 5SL,EC2Y 8BL,58.266666666666666,51.45004,-0.201053
W12 7DP,EC2Y 8BL,35.13333333333333,51.506526,-0.224897
E9 7SF,EC2Y 8BL,32.06666666666667,51.538021,-0.054469
SW16 4QY,EC2Y 8BL,73.45,51.404162,-0.114762
SW4 8QW,EC2Y 8BL,32.15,51.452058,-0.140165
E1 3ER,EC2Y 8BL,23.3,51.515955,-0.053492999999999985
N13 5QT,EC2Y 8BL,60.25,51.623286,-0.085526
NW5 1UE,EC2Y 8BL,24.016666666666666,51.554119,-0.141587
N7 6JS,EC2Y 8BL,41.016666666666666,51.560782,-0.120671
N22 6RX,EC2Y 8BL,38.88333333333333,51.597178,-0.094006
SE15 2JU,N1 7HL,43.63333333333333,51.475762,-0.05699
SE5 0UE,N1 7HL,31.6,51.478113,-0.099445
N5 2NL,N1 7HL,21.5,51.548967,-0.092888
SE16 3ES,N1 7HL,52.46666666666667,51.488128,-0.063551
N17 6JN,N1 7HL,52.96666666666667,51.59296,-0.08195
EC2A 4AN,N1 7HL,11.283333333333333,51.524799,-0.08705
E2 8HR,N1 7HL,16.833333333333332,51.53087,-0.075045
SW5 9HB,EC1V 3RP,42.733333333333334,51.490922,-0.19763
E14 3DJ,EC1V 3RP,38.18333333333333,51.488956,-0.008274
N1 5TQ,EC1V 3RP,20.083333333333332,51.538097,-0.085829
SW2 3HD,EC1V 3RP,46.9,51.439589,-0.124052
E1 0BH,EC1V 3RP,28.533333333333335,51.510554,-0.060643
SE5 0YP,EC1V 3RP,36.61666666666667,51.479156,-0.101087
N4 2SZ,EC1V 3RP,31.183333333333334,51.561349,-0.093971
SW17 0ER,EC1V 3RP,40.333333333333336,51.42966,-0.168325
SE14 5LX,EC1V 3RP,51.13333333333333,51.469074,-0.047382
CR7 8PA,N1 6TD,62.61666666666667,51.407081,-0.098955
N16 6DF,N1 6TD,47.38333333333333,51.57687,-0.062134
SW11 1XG,N1 6TD,48.06666666666667,51.460343,-0.16204000000000002
E2 7AS,N1 6TD,17.466666666666665,51.531067,-0.064613
